TraceNo.;Realduration(ms);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained);Iteration;Timepassed;Realremaining;Pred(processavg);Pred(statesingle);Pred(statelist);Pred(stateset);Pred(Pnetsimple);Pred(Pnetconstrained);Error(processavg);Error(statesingle);Error(statelist);Error(stateset);Error(Pnetsimple);Error(Pnetconstrained)
704;253118000;0;1;253117999;81595799;81595799;81595799;81595799;81141864;82361181;171522200;171522200;171522200;171522200;171976135;170756818;1;1161001;251956999;80434799;77967423;77967423;77967423;79421281;82606058;171522200;173989576;173989576;173989576;172535718;169350941;2;7631001;245486999;73964799;58158451;58158451;58158451;60075746;58122092;171522200;187328548;187328548;187328548;185411253;187364907;3;12034001;241083999;69561799;42744987;42744987;42744987;43347385;38510378;171522200;198339012;198339012;198339012;197736614;202573621;4;248019001;5098999;0;23396509;23396509;23396509;23479480;20407748;5098999;18297510;18297510;18297510;18380481;15308749;5;250914001;2203999;0;13130237;13130237;13130237;13349113;13486738;2203999;10926238;10926238;10926238;11145114;11282739;6;252732001;385999;0;2307032;2307032;2307032;2426808;3370598;385999;1921033;1921033;1921033;2040809;2984599
705;249940000;0;1;249939999;81595799;81595799;81595799;81595799;82903258;77646135;168344200;168344200;168344200;168344200;167036741;172293864;1;729001;249210999;80866799;77967423;77967423;77967423;75998604;81182295;168344200;171243576;171243576;171243576;173212395;168028704;2;6123001;243816999;75472799;58158451;58158451;58158451;60588173;65453672;168344200;185658548;185658548;185658548;183228826;178363327;3;9645001;240294999;71950799;42744987;42744987;42744987;45386103;41552805;168344200;197550012;197550012;197550012;194908896;198742194;4;14473001;235466999;67122799;23396509;23396509;23396509;23916806;23807192;168344200;212070490;212070490;212070490;211550193;211659807;5;245588001;4351999;0;13130237;13130237;13130237;12566389;13080112;4351999;8778238;8778238;8778238;8214390;8728113;6;249529001;410999;0;2307032;2307032;2307032;1929262;2467268;410999;1896033;1896033;1896033;1518263;2056269
706;253297000;0;1;253296999;81595799;81595799;81595799;81595799;81117458;85758015;171701200;171701200;171701200;171701200;172179541;167538984;1;1106001;252190999;80489799;77967423;77967423;77967423;78378982;77953358;171701200;174223576;174223576;174223576;173812017;174237641;2;5679001;247617999;75916799;58158451;58158451;58158451;60035136;55615442;171701200;189459548;189459548;189459548;187582863;192002557;3;10930001;242366999;70665799;42744987;42744987;42744987;43685768;48070228;171701200;199622012;199622012;199622012;198681231;194296771;4;246319001;6977999;0;23396509;23396509;23396509;23548531;22694822;6977999;16418510;16418510;16418510;16570532;15716823;5;249160001;4136999;0;13130237;13130237;13130237;12827939;11667315;4136999;8993238;8993238;8993238;8690940;7530316;6;252849001;447999;0;2307032;2307032;2307032;2310014;1503062;447999;1859033;1859033;1859033;1862015;1055063
707;249426000;0;1;249425999;81595799;81595799;81595799;81595799;77994196;82058328;167830200;167830200;167830200;167830200;171431803;167367671;1;1077001;248348999;80518799;77967423;77967423;77967423;77341836;82401105;167830200;170381576;170381576;170381576;171007163;165947894;2;6668001;242757999;74927799;58158451;58158451;58158451;56011038;58280902;167830200;184599548;184599548;184599548;186746961;184477097;3;10006001;239419999;71589799;42744987;42744987;42744987;43341809;44337585;167830200;196675012;196675012;196675012;196078190;195082414;4;245362001;4063999;0;23396509;23396509;23396509;23101349;19699338;4063999;19332510;19332510;19332510;19037350;15635339;5;247204001;2221999;0;13130237;13130237;13130237;15348015;18878535;2221999;10908238;10908238;10908238;13126016;16656536;6;249034001;391999;0;2307032;2307032;2307032;2346189;1487488;391999;1915033;1915033;1915033;1954190;1095489
708;252297000;0;1;252296999;81595799;81595799;81595799;81595799;81356691;88195975;170701200;170701200;170701200;170701200;170940308;164101024;1;554001;251742999;81041799;77967423;77967423;77967423;75351067;74108692;170701200;173775576;173775576;173775576;176391932;177634307;2;6219001;246077999;75376799;58158451;58158451;58158451;57251818;57589768;170701200;187919548;187919548;187919548;188826181;188488231;3;9966001;242330999;71629799;42744987;42744987;42744987;42794047;37703938;170701200;199586012;199586012;199586012;199536952;204627061;4;245937001;6359999;0;23396509;23396509;23396509;23578225;22855218;6359999;17036510;17036510;17036510;17218226;16495219;5;249880001;2416999;0;13130237;13130237;13130237;12303491;11793592;2416999;10713238;10713238;10713238;9886492;9376593;6;251846001;450999;0;2307032;2307032;2307032;2507951;2462712;450999;1856033;1856033;1856033;2056952;2011713
709;251957000;0;1;251956999;81595799;81595799;81595799;81595799;80051602;73821858;170361200;170361200;170361200;170361200;171905397;178135141;1;586001;251370999;81009799;77967423;77967423;77967423;79505111;72797105;170361200;173403576;173403576;173403576;171865888;178573894;2;5514001;246442999;76081799;58158451;58158451;58158451;56623422;50169975;170361200;188284548;188284548;188284548;189819577;196273024;3;8703001;243253999;72892799;42744987;42744987;42744987;41765809;38809752;170361200;200509012;200509012;200509012;201488190;204444247;4;244366001;7590999;0;23396509;23396509;23396509;24069024;18227495;7590999;15805510;15805510;15805510;16478025;10636496;5;246900001;5056999;0;13130237;13130237;13130237;12370078;14467082;5056999;8073238;8073238;8073238;7313079;9410083;6;251560001;396999;0;2307032;2307032;2307032;2237325;2277138;396999;1910033;1910033;1910033;1840326;1880139
710;247186000;0;1;247185999;81595799;81595799;81595799;81595799;80559233;79836708;165590200;165590200;165590200;165590200;166626766;167349291;1;731001;246454999;80864799;77967423;77967423;77967423;77348233;74000798;165590200;168487576;168487576;168487576;169106766;172454201;2;4561001;242624999;77034799;58158451;58158451;58158451;58835549;57361912;165590200;184466548;184466548;184466548;183789450;185263087;3;8212001;238973999;73383799;42744987;42744987;42744987;44021610;45463888;165590200;196229012;196229012;196229012;194952389;193510111;4;240370001;6815999;0;23396509;23396509;23396509;22137223;26021022;6815999;16580510;16580510;16580510;15321224;19205023;5;243651001;3534999;0;13130237;13130237;13130237;13086424;12952902;3534999;9595238;9595238;9595238;9551425;9417903;6;246849001;336999;0;2307032;2307032;2307032;2487587;3596092;336999;1970033;1970033;1970033;2150588;3259093
711;245047000;0;1;245046999;81595799;81595799;81595799;81595799;82715752;73876235;163451200;163451200;163451200;163451200;162331247;171170764;1;776001;244270999;80819799;77967423;77967423;77967423;81141919;75202435;163451200;166303576;166303576;166303576;163129080;169068564;2;3279001;241767999;78316799;58158451;58158451;58158451;58437837;61184902;163451200;183609548;183609548;183609548;183330162;180583097;3;7825001;237221999;73770799;42744987;42744987;42744987;41505802;39014328;163451200;194477012;194477012;194477012;195716197;198207671;4;240056001;4990999;0;23396509;23396509;23396509;24722333;17933318;4990999;18405510;18405510;18405510;19731334;12942319;5;241967001;3079999;0;13130237;13130237;13130237;13684746;12151765;3079999;10050238;10050238;10050238;10604747;9071766;6;244678001;368999;0;2307032;2307032;2307032;2389560;2793868;368999;1938033;1938033;1938033;2020561;2424869
712;252335000;0;1;252334999;81595799;81595799;81595799;81595799;84137335;81741035;170739200;170739200;170739200;170739200;168197664;170593964;1;1115001;251219999;80480799;77967423;77967423;77967423;76225712;75144308;170739200;173252576;173252576;173252576;174994287;176075691;2;6556001;245778999;75039799;58158451;58158451;58158451;57747020;65285488;170739200;187620548;187620548;187620548;188031979;180493511;3;240606001;11728999;0;42744987;42744987;42744987;43880056;44278055;11728999;31015988;31015988;31015988;32151057;32549056;4;245191001;7143999;0;23396509;23396509;23396509;22428113;21808675;7143999;16252510;16252510;16252510;15284114;14664676;5;248606001;3728999;0;13130237;13130237;13130237;13275818;18539092;3728999;9401238;9401238;9401238;9546819;14810093;6;251663001;671999;0;2307032;2307032;2307032;2533765;2638665;671999;1635033;1635033;1635033;1861766;1966666
713;24015000;0;1;24014999;81595799;81595799;81595799;81595799;79160066;80172888;57580800;57580800;57580800;57580800;55145067;56157889;1;1049001;22965999;80546799;77967423;77967423;77967423;77502166;69520955;57580800;55001424;55001424;55001424;54536167;46554956;2;5700001;18314999;75895799;58158451;58158451;58158451;56748570;60549575;57580800;39843452;39843452;39843452;38433571;42234576;3;10376001;13638999;71219799;42744987;42744987;42744987;40968249;40425522;57580800;29105988;29105988;29105988;27329250;26786523;4;15855001;8159999;65740799;23396509;23396509;23396509;24839485;25153538;57580800;15236510;15236510;15236510;16679486;16993539;5;20116001;3898999;61479799;13130237;13130237;13130237;12927256;14161382;57580800;9231238;9231238;9231238;9028257;10262383;6;23560001;454999;58035799;2307032;2307032;2307032;2265424;1325965;57580800;1852033;1852033;1852033;1810425;870966
714;20982000;0;1;20981999;81595799;81595799;81595799;81595799;84553477;84994465;60613800;60613800;60613800;60613800;63571478;64012466;1;625001;20356999;80970799;77967423;77967423;77967423;76594263;72439612;60613800;57610424;57610424;57610424;56237264;52082613;2;6811001;14170999;74784799;58158451;58158451;58158451;56880396;63434745;60613800;43987452;43987452;43987452;42709397;49263746;3;10278001;10703999;71317799;42744987;42744987;42744987;42488783;42930788;60613800;32040988;32040988;32040988;31784784;32226789;4;16199001;4782999;65396799;23396509;23396509;23396509;22884770;18930145;60613800;18613510;18613510;18613510;18101771;14147146;5;18591001;2390999;63004799;13130237;13130237;13130237;13184700;15454598;60613800;10739238;10739238;10739238;10793701;13063599;6;20376001;605999;61219799;2307032;2307032;2307032;2271714;608938;60613800;1701033;1701033;1701033;1665715;2939
715;77925000;0;1;77924999;81595799;81595799;81595799;81595799;77783896;77246791;3670800;3670800;3670800;3670800;141103;678208;1;1071001;76853999;80524799;77967423;77967423;77967423;78502804;80160378;3670800;1113424;1113424;1113424;1648805;3306379;2;5456001;72468999;76139799;58158451;58158451;58158451;58903720;57641325;3670800;14310548;14310548;14310548;13565279;14827674;3;9645001;68279999;71950799;42744987;42744987;42744987;41450325;48900245;3670800;25535012;25535012;25535012;26829674;19379754;4;14781001;63143999;66814799;23396509;23396509;23396509;24148425;23532302;3670800;39747490;39747490;39747490;38995574;39611697;5;18853001;59071999;62742799;13130237;13130237;13130237;14362196;14776882;3670800;45941762;45941762;45941762;44709803;44295117;6;23282001;54642999;58313799;2307032;2307032;2307032;2342454;1703992;3670800;52335967;52335967;52335967;52300545;52939007
716;19425000;0;1;19424999;81595799;81595799;81595799;81595799;87806019;86715101;62170800;62170800;62170800;62170800;68381020;67290102;1;947001;18477999;80648799;77967423;77967423;77967423;78791329;75492985;62170800;59489424;59489424;59489424;60313330;57014986;2;6712001;12712999;74883799;58158451;58158451;58158451;57026383;52984068;62170800;45445452;45445452;45445452;44313384;40271069;3;9881001;9543999;71714799;42744987;42744987;42744987;39635517;39774358;62170800;33200988;33200988;33200988;30091518;30230359;4;15189001;4235999;66406799;23396509;23396509;23396509;23267371;18985765;62170800;19160510;19160510;19160510;19031372;14749766;5;16628001;2796999;64967799;13130237;13130237;13130237;13441894;11251772;62170800;10333238;10333238;10333238;10644895;8454773;6;18922001;502999;62673799;2307032;2307032;2307032;2441438;2091695;62170800;1804033;1804033;1804033;1938439;1588696
717;18715000;0;1;18714999;81595799;81595799;81595799;81595799;80611262;78426011;62880800;62880800;62880800;62880800;61896263;59711012;1;850001;17864999;80745799;77967423;77967423;77967423;73202001;78868021;62880800;60102424;60102424;60102424;55337002;61003022;2;3816001;14898999;77779799;58158451;58158451;58158451;56798883;58220622;62880800;43259452;43259452;43259452;41899884;43321623;3;7858001;10856999;73737799;42744987;42744987;42744987;41249809;42460795;62880800;31887988;31887988;31887988;30392810;31603796;4;12135001;6579999;69460799;23396509;23396509;23396509;22463433;22699195;62880800;16816510;16816510;16816510;15883434;16119196;5;15102001;3612999;66493799;13130237;13130237;13130237;11954691;13136178;62880800;9517238;9517238;9517238;8341692;9523179;6;17868001;846999;63727799;2307032;2307032;2307032;2351628;2622335;62880800;1460033;1460033;1460033;1504629;1775336
718;76997000;0;1;76996999;81595799;81595799;81595799;81595799;83223749;70957092;4598800;4598800;4598800;4598800;6226750;6039907;1;990001;76006999;80605799;77967423;77967423;77967423;77186557;73490495;4598800;1960424;1960424;1960424;1179558;2516504;2;6386001;70610999;75209799;58158451;58158451;58158451;57723810;53642392;4598800;12452548;12452548;12452548;12887189;16968607;3;10374001;66622999;71221799;42744987;42744987;42744987;43681364;39889658;4598800;23878012;23878012;23878012;22941635;26733341;4;16464001;60532999;65131799;23396509;23396509;23396509;23653522;23355575;4598800;37136490;37136490;37136490;36879477;37177424;5;74959001;2037999;6636799;13130237;13130237;13130237;12375113;16192188;4598800;11092238;11092238;11092238;10337114;14154189;6;76577001;419999;5018799;2307032;2307032;2307032;2178217;3994102;4598800;1887033;1887033;1887033;1758218;3574103
719;74939000;0;1;74938999;81595799;81595799;81595799;81595799;83216234;79119588;6656800;6656800;6656800;6656800;8277235;4180589;1;970001;73968999;80625799;77967423;77967423;77967423;81075912;75519848;6656800;3998424;3998424;3998424;7106913;1550849;2;5059001;69879999;76536799;58158451;58158451;58158451;55740086;55225052;6656800;11721548;11721548;11721548;14139913;14654947;3;8311001;66627999;73284799;42744987;42744987;42744987;43082815;47037502;6656800;23883012;23883012;23883012;23545184;19590497;4;13236001;61702999;68359799;23396509;23396509;23396509;24209119;24362458;6656800;38306490;38306490;38306490;37493880;37340541;5;16836001;58102999;64759799;13130237;13130237;13130237;13532792;15497542;6656800;44972762;44972762;44972762;44570207;42605457;6;74570001;368999;7025799;2307032;2307032;2307032;2143686;2873888;6656800;1938033;1938033;1938033;1774687;2504889
720;76302000;0;1;76301999;81595799;81595799;81595799;81595799;79922587;84384198;5293800;5293800;5293800;5293800;3620588;8082199;1;1103001;75198999;80492799;77967423;77967423;77967423;77463091;75518558;5293800;2768424;2768424;2768424;2264092;319559;2;6536001;69765999;75059799;58158451;58158451;58158451;54947386;56803975;5293800;11607548;11607548;11607548;14818613;12962024;3;10620001;65681999;70975799;42744987;42744987;42744987;41701976;42961972;5293800;22937012;22937012;22937012;23980023;22720027;4;14967001;61334999;66628799;23396509;23396509;23396509;21598756;26997025;5293800;37938490;37938490;37938490;39736243;34337974;5;72964001;3337999;8631799;13130237;13130237;13130237;12716390;14490502;5293800;9792238;9792238;9792238;9378391;11152503;6;75840001;461999;5755799;2307032;2307032;2307032;2411333;1902785;5293800;1845033;1845033;1845033;1949334;1440786
721;79882000;0;1;79881999;81595799;81595799;81595799;81595799;80143580;86262305;1713800;1713800;1713800;1713800;261581;6380306;1;1059001;78822999;80536799;77967423;77967423;77967423;77713842;82685445;1713800;855576;855576;855576;1109157;3862446;2;7255001;72626999;74340799;58158451;58158451;58158451;59766030;59216562;1713800;14468548;14468548;14468548;12860969;13410437;3;12531001;67350999;69064799;42744987;42744987;42744987;44830441;39268005;1713800;24606012;24606012;24606012;22520558;28082994;4;73765001;6116999;7830799;23396509;23396509;23396509;23563764;28078825;1713800;17279510;17279510;17279510;17446765;21961826;5;76147001;3734999;5448799;13130237;13130237;13130237;14244310;10900742;1713800;9395238;9395238;9395238;10509311;7165743;6;79197001;684999;2398799;2307032;2307032;2307032;2393461;2100345;1713800;1622033;1622033;1622033;1708462;1415346
722;82496000;0;1;82495999;81595799;81595799;81595799;81595799;83330654;84065995;900200;900200;900200;900200;834655;1569996;1;977001;81518999;80618799;77967423;77967423;77967423;75682683;77800071;900200;3551576;3551576;3551576;5836316;3718928;2;6015001;76480999;75580799;58158451;58158451;58158451;61443687;57850338;900200;18322548;18322548;18322548;15037312;18630661;3;11356001;71139999;70239799;42744987;42744987;42744987;40864141;42827495;900200;28395012;28395012;28395012;30275858;28312504;4;73221001;9274999;8374799;23396509;23396509;23396509;22388622;24459078;900200;14121510;14121510;14121510;13113623;15184079;5;76839001;5656999;4756799;13130237;13130237;13130237;12181994;9255515;900200;7473238;7473238;7473238;6524995;3598516;6;81936001;559999;0;2307032;2307032;2307032;2145313;2422475;559999;1747033;1747033;1747033;1585314;1862476
723;243689000;0;1;243688999;81595799;81595799;81595799;81595799;80968894;79604721;162093200;162093200;162093200;162093200;162720105;164084278;1;821001;242867999;80774799;77967423;77967423;77967423;76858526;84715968;162093200;164900576;164900576;164900576;166009473;158152031;2;2730001;240958999;78865799;58158451;58158451;58158451;57964877;58012635;162093200;182800548;182800548;182800548;182994122;182946364;3;5650001;238038999;75945799;42744987;42744987;42744987;42064787;41456485;162093200;195294012;195294012;195294012;195974212;196582514;4;238497001;5191999;0;23396509;23396509;23396509;23225526;20222602;5191999;18204510;18204510;18204510;18033527;15030603;5;241172001;2516999;0;13130237;13130237;13130237;13310711;12250805;2516999;10613238;10613238;10613238;10793712;9733806;6;243106001;582999;0;2307032;2307032;2307032;2116896;2656618;582999;1724033;1724033;1724033;1533897;2073619
724;84367000;0;1;84366999;81595799;81595799;81595799;81595799;79531959;84237035;2771200;2771200;2771200;2771200;4835040;129964;1;1059001;83307999;80536799;77967423;77967423;77967423;79713828;83748198;2771200;5340576;5340576;5340576;3594171;440199;2;10766001;73600999;70829799;58158451;58158451;58158451;58946191;49065375;2771200;15442548;15442548;15442548;14654808;24535624;3;71927001;12439999;9668799;42744987;42744987;42744987;40593356;38250685;2771200;30304988;30304988;30304988;28153357;25810686;4;76730001;7636999;4865799;23396509;23396509;23396509;23148859;25412005;2771200;15759510;15759510;15759510;15511860;17775006;5;80775001;3591999;820799;13130237;13130237;13130237;13198412;13965125;2771200;9538238;9538238;9538238;9606413;10373126;6;83971001;395999;0;2307032;2307032;2307032;2397374;2782855;395999;1911033;1911033;1911033;2001375;2386856
725;77389000;0;1;77388999;81595799;81595799;81595799;81595799;82419400;78593281;4206800;4206800;4206800;4206800;5030401;1204282;1;929001;76459999;80666799;77967423;77967423;77967423;78894642;73048228;4206800;1507424;1507424;1507424;2434643;3411771;2;6438001;70950999;75157799;58158451;58158451;58158451;58963117;55868625;4206800;12792548;12792548;12792548;11987882;15082374;3;9326001;68062999;72269799;42744987;42744987;42744987;43029438;51448232;4206800;25318012;25318012;25318012;25033561;16614767;4;70476001;6912999;11119799;23396509;23396509;23396509;23913923;26221055;4206800;16483510;16483510;16483510;17000924;19308056;5;73706001;3682999;7889799;13130237;13130237;13130237;12287074;11818782;4206800;9447238;9447238;9447238;8604075;8135783;6;76630001;758999;4965799;2307032;2307032;2307032;2320044;1550232;4206800;1548033;1548033;1548033;1561045;791233
726;16878000;0;1;16877999;81595799;81595799;81595799;81595799;82788852;87101671;64717800;64717800;64717800;64717800;65910853;70223672;1;932001;15945999;80663799;77967423;77967423;77967423;80006899;78786048;64717800;62021424;62021424;62021424;64060900;62840049;2;5136001;11741999;76459799;58158451;58158451;58158451;59949838;50325778;64717800;46416452;46416452;46416452;48207839;38583779;3;8186001;8691999;73409799;42744987;42744987;42744987;42600842;38728692;64717800;34052988;34052988;34052988;33908843;30036693;4;12704001;4173999;68891799;23396509;23396509;23396509;24372919;25710595;64717800;19222510;19222510;19222510;20198920;21536596;5;14171001;2706999;67424799;13130237;13130237;13130237;13250323;11446565;64717800;10423238;10423238;10423238;10543324;8739566;6;15990001;887999;65605799;2307032;2307032;2307032;2382003;2423055;64717800;1419033;1419033;1419033;1494004;1535056
727;76785000;0;1;76784999;81595799;81595799;81595799;81595799;81485804;77774171;4810800;4810800;4810800;4810800;4700805;989172;1;770001;76014999;80825799;77967423;77967423;77967423;79327172;70469395;4810800;1952424;1952424;1952424;3312173;5545604;2;5802001;70982999;75793799;58158451;58158451;58158451;58872564;65328565;4810800;12824548;12824548;12824548;12110435;5654434;3;8966001;67818999;72629799;42744987;42744987;42744987;42151212;41776958;4810800;25074012;25074012;25074012;25667787;26042041;4;70307001;6477999;11288799;23396509;23396509;23396509;22461591;22580795;4810800;16918510;16918510;16918510;15983592;16102796;5;73694001;3090999;7901799;13130237;13130237;13130237;13571256;12460762;4810800;10039238;10039238;10039238;10480257;9369763;6;76061001;723999;5534799;2307032;2307032;2307032;2272939;2610045;4810800;1583033;1583033;1583033;1548940;1886046
728;81403000;0;1;81402999;81595799;81595799;81595799;81595799;81254007;71493728;192800;192800;192800;192800;148992;9909271;1;973001;80429999;80622799;77967423;77967423;77967423;76357760;83713675;192800;2462576;2462576;2462576;4072239;3283676;2;6032001;75370999;75563799;58158451;58158451;58158451;60630876;53472045;192800;17212548;17212548;17212548;14740123;21898954;3;68791001;12611999;12804799;42744987;42744987;42744987;42713058;44884415;192800;30132988;30132988;30132988;30101059;32272416;4;73676001;7726999;7919799;23396509;23396509;23396509;22009423;21921905;192800;15669510;15669510;15669510;14282424;14194906;5;77817001;3585999;3778799;13130237;13130237;13130237;13043366;16494645;192800;9544238;9544238;9544238;9457367;12908646;6;80898001;504999;697799;2307032;2307032;2307032;2287257;4170785;192800;1802033;1802033;1802033;1782258;3665786
729;245916000;0;1;245915999;81595799;81595799;81595799;81595799;84813150;82980511;164320200;164320200;164320200;164320200;161102849;162935488;1;700001;245215999;80895799;77967423;77967423;77967423;79310064;75486202;164320200;167248576;167248576;167248576;165905935;169729797;2;5038001;240877999;76557799;58158451;58158451;58158451;58877834;66281558;164320200;182719548;182719548;182719548;182000165;174596441;3;235495001;10420999;0;42744987;42744987;42744987;42930133;41524718;10420999;32323988;32323988;32323988;32509134;31103719;4;239771001;6144999;0;23396509;23396509;23396509;24331402;24702705;6144999;17251510;17251510;17251510;18186403;18557706;5;242142001;3773999;0;13130237;13130237;13130237;14550071;11344215;3773999;9356238;9356238;9356238;10776072;7570216;6;245447001;468999;0;2307032;2307032;2307032;2190914;1511958;468999;1838033;1838033;1838033;1721915;1042959
730;78561000;0;1;78560999;81595799;81595799;81595799;81595799;80994830;71486365;3034800;3034800;3034800;3034800;2433831;7074634;1;795001;77765999;80800799;77967423;77967423;77967423;84741810;69486588;3034800;201424;201424;201424;6975811;8279411;2;4444001;74116999;77151799;58158451;58158451;58158451;58338248;57164558;3034800;15958548;15958548;15958548;15778751;16952441;3;67778001;10782999;13817799;42744987;42744987;42744987;42129717;46401915;3034800;31961988;31961988;31961988;31346718;35618916;4;72584001;5976999;9011799;23396509;23396509;23396509;24283090;27786838;3034800;17419510;17419510;17419510;18306091;21809839;5;76569001;1991999;5026799;13130237;13130237;13130237;12504464;13230055;3034800;11138238;11138238;11138238;10512465;11238056;6;77854001;706999;3741799;2307032;2307032;2307032;2344568;2268238;3034800;1600033;1600033;1600033;1637569;1561239
731;85549000;0;1;85548999;81595799;81595799;81595799;81595799;83192484;83627491;3953200;3953200;3953200;3953200;2356515;1921508;1;672001;84876999;80923799;77967423;77967423;77967423;79682025;74299688;3953200;6909576;6909576;6909576;5194974;10577311;2;68649001;16899999;12946799;58158451;58158451;58158451;58900724;59442502;3953200;41258452;41258452;41258452;42000725;42542503;3;73048001;12500999;8547799;42744987;42744987;42744987;41551049;41818852;3953200;30243988;30243988;30243988;29050050;29317853;4;77613001;7935999;3982799;23396509;23396509;23396509;23442700;19958625;3953200;15460510;15460510;15460510;15506701;12022626;5;80013001;5535999;1582799;13130237;13130237;13130237;13146530;10577935;3953200;7594238;7594238;7594238;7610531;5041936;6;84779001;769999;0;2307032;2307032;2307032;2028428;2844985;769999;1537033;1537033;1537033;1258429;2074986
732;74910000;0;1;74909999;81595799;81595799;81595799;81595799;82207698;90190461;6685800;6685800;6685800;6685800;7297699;15280462;1;864001;74045999;80731799;77967423;77967423;77967423;78808748;76790001;6685800;3921424;3921424;3921424;4762749;2744002;2;5370001;69539999;76225799;58158451;58158451;58158451;61201067;55381425;6685800;11381548;11381548;11381548;8338932;14158574;3;64172001;10737999;17423799;42744987;42744987;42744987;43368263;49289625;6685800;32006988;32006988;32006988;32630264;38551626;4;68314001;6595999;13281799;23396509;23396509;23396509;23347933;26000252;6685800;16800510;16800510;16800510;16751934;19404253;5;70829001;4080999;10766799;13130237;13130237;13130237;13138891;14022472;6685800;9049238;9049238;9049238;9057892;9941473;6;74240001;669999;7355799;2307032;2307032;2307032;2374844;1150148;6685800;1637033;1637033;1637033;1704845;480149
733;74037000;0;1;74036999;81595799;81595799;81595799;81595799;84970157;84255708;7558800;7558800;7558800;7558800;10933158;10218709;1;1120001;72916999;80475799;77967423;77967423;77967423;75119342;68648582;7558800;5050424;5050424;5050424;2202343;4268417;2;6230001;67806999;75365799;58158451;58158451;58158451;61347234;59199992;7558800;9648548;9648548;9648548;6459765;8607007;3;64075001;9961999;17520799;42744987;42744987;42744987;40888736;43987435;7558800;32782988;32782988;32782988;30926737;34025436;4;68791001;5245999;12804799;23396509;23396509;23396509;23025233;18285942;7558800;18150510;18150510;18150510;17779234;13039943;5;71673001;2363999;9922799;13130237;13130237;13130237;13204361;10087832;7558800;10766238;10766238;10766238;10840362;7723833;6;73716001;320999;7879799;2307032;2307032;2307032;2092415;2073388;7558800;1986033;1986033;1986033;1771416;1752389
734;78375000;0;1;78374999;81595799;81595799;81595799;81595799;81224568;93125291;3220800;3220800;3220800;3220800;2849569;14750292;1;1097001;77277999;80498799;77967423;77967423;77967423;75239917;78764538;3220800;689424;689424;689424;2038082;1486539;2;65252001;13122999;16343799;58158451;58158451;58158451;58029311;54592632;3220800;45035452;45035452;45035452;44906312;41469633;3;69476001;8898999;12119799;42744987;42744987;42744987;42410254;39238418;3220800;33845988;33845988;33845988;33511255;30339419;4;74545001;3829999;7050799;23396509;23396509;23396509;23526847;28183972;3220800;19566510;19566510;19566510;19696848;24353973;5;76197001;2177999;5398799;13130237;13130237;13130237;12377203;12712358;3220800;10952238;10952238;10952238;10199204;10534359;6;77870001;504999;3725799;2307032;2307032;2307032;2261364;2833412;3220800;1802033;1802033;1802033;1756365;2328413
735;75280000;0;1;75279999;81595799;81595799;81595799;81595799;78222948;80043935;6315800;6315800;6315800;6315800;2942949;4763936;1;805001;74474999;80790799;77967423;77967423;77967423;76840822;75381915;6315800;3492424;3492424;3492424;2365823;906916;2;4123001;71156999;77472799;58158451;58158451;58158451;59355075;56925142;6315800;12998548;12998548;12998548;11801924;14231857;3;62520001;12759999;19075799;42744987;42744987;42744987;42382018;51508712;6315800;29984988;29984988;29984988;29622019;38748713;4;67803001;7476999;13792799;23396509;23396509;23396509;24482266;23848962;6315800;15919510;15919510;15919510;17005267;16371963;5;69207001;6072999;12388799;13130237;13130237;13130237;12845568;14214322;6315800;7057238;7057238;7057238;6772569;8141323;6;74722001;557999;6873799;2307032;2307032;2307032;2385234;3379085;6315800;1749033;1749033;1749033;1827235;2821086
